name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
,5463,,1319,2987,1,38.11,2,120,,connector,20,"LINESTRING (-111.9337313 33.4168004, -111.9333251 33.4167541)",auto;bike;walk,1,0,,
,5464,,2988,2401,1,10.52,2,120,,connector,20,"LINESTRING (-111.9349543 33.4164358, -111.9350431 33.4163770)",auto;bike;walk,1,0,,
,5465,,2401,2988,1,10.52,2,120,,connector,20,"LINESTRING (-111.9350431 33.4163770, -111.9349543 33.4164358)",auto;bike;walk,1,0,,
,5466,,2989,2401,1,10.56,2,120,,connector,20,"LINESTRING (-111.9351460 33.4164173, -111.9350431 33.4163770)",auto;bike;walk,1,0,,
,5467,,2401,2989,1,10.56,2,120,,connector,20,"LINESTRING (-111.9350431 33.4163770, -111.9351460 33.4164173)",auto;bike;walk,1,0,,
,5468,,2990,1310,1,10.7,2,120,,connector,20,"LINESTRING (-111.9349679 33.4162398, -111.9350420 33.4161660)",auto;bike;walk,1,0,,
,5469,,1310,2990,1,10.7,2,120,,connector,20,"LINESTRING (-111.9350420 33.4161660, -111.9349679 33.4162398)",auto;bike;walk,1,0,,
,5470,,2991,525,1,27.26,2,120,,connector,20,"LINESTRING (-111.9335782 33.4179712, -111.9338244 33.4181047)",auto;bike;walk,1,0,,
,5471,,525,2991,1,27.26,2,120,,connector,20,"LINESTRING (-111.9338244 33.4181047, -111.9335782 33.4179712)",auto;bike;walk,1,0,,
,5472,,2992,2354,1,24.01,2,120,,connector,20,"LINESTRING (-111.9324350 33.4174600, -111.9325947 33.4172898)",auto;bike;walk,1,0,,
,5473,,2354,2992,1,24.01,2,120,,connector,20,"LINESTRING (-111.9325947 33.4172898, -111.9324350 33.4174600)",auto;bike;walk,1,0,,
,5474,,2993,988,1,22.36,2,120,,connector,20,"LINESTRING (-111.9308922 33.4216821, -111.9307601 33.4218506)",auto;bike;walk,1,0,,
,5475,,988,2993,1,22.36,2,120,,connector,20,"LINESTRING (-111.9307601 33.4218506, -111.9308922 33.4216821)",auto;bike;walk,1,0,,
,5476,,2994,1238,1,13.85,2,120,,connector,20,"LINESTRING (-111.9319977 33.4212108, -111.9318528 33.4212396)",auto;bike;walk,1,0,,
,5477,,1238,2994,1,13.85,2,120,,connector,20,"LINESTRING (-111.9318528 33.4212396, -111.9319977 33.4212108)",auto;bike;walk,1,0,,
,5478,,2995,1237,1,18.55,2,120,,connector,20,"LINESTRING (-111.9320537 33.4212314, -111.9322531 33.4212367)",auto;bike;walk,1,0,,
