o_zone_id,o_zone_name,d_zone_id,d_zone_name,dist_km,geometry
64,G4,29,C9,1.3302950647339433,"LINESTRING (-111.93128024 33.420399995000004, -111.91977784000001 33.427539075)"
64,G4,30,D0,1.0410454236035191,"LINESTRING (-111.93128024 33.420399995000004, -111.94048216 33.425754305)"
64,G4,31,D1,0.8744732661930775,"LINESTRING (-111.93128024 33.420399995000004, -111.93818168 33.425754305)"
64,G4,32,D2,0.7326628533860796,"LINESTRING (-111.93128024 33.420399995000004, -111.93588120000001 33.42575430499999)"
64,G4,33,D3,0.6324948079720828,"LINESTRING (-111.93128024 33.420399995000004, -111.93358072000002 33.425754305)"
64,G4,34,D4,0.5953721115796691,"LINESTRING (-111.93128024 33.420399995000004, -111.93128024 33.425754305)"
64,G4,35,D5,0.6324948079720828,"LINESTRING (-111.93128024 33.420399995000004, -111.92897976 33.425754305)"
64,G4,36,D6,0.7326628533860796,"LINESTRING (-111.93128024 33.420399995000004, -111.92667927999999 33.425754305)"
64,G4,37,D7,0.8744732661930775,"LINESTRING (-111.93128024 33.420399995000004, -111.92437879999999 33.42575430499999)"
64,G4,38,D8,1.0410454236035191,"LINESTRING (-111.93128024 33.420399995000004, -111.92207832000001 33.425754305)"
